Serf, FamilySize, PlotSize, SilverStock
1, 7, 9.98357755801893, 149550.0681971332
2, 7, 8.10878033022138, 101738.7511777085
3, 4, 10.624215108730246, 94795.39401967691
5, 6, 9.622019619081415, 120283.27703876526
6, 2, 5.416269310901322, 9504.802532163118
7, 8, 7.622049179717367, 102311.87164052663
8, 8, 6.340693649748864, 65025.17129431272
9, 3, 8.413709477119468, 46941.853524318
10, 6, 8.450250160533706, 94663.0125877728
11, 3, 11.474846374727475, 80399.8091804931
12, 8, 7.647286665237465, 103044.45623018646
14, 9, 6.733702720225315, 86619.26092071655
15, 15, 5.0, 53938.94796111459
16, 10, 5.0, 33999.937359743126
17, 2, 7.065539913624787, 21481.269359827755
18, 2, 14.592532181918033, 76337.80751650699
19, 2, 12.350250175981941, 59985.39397083234
20, 2, 9.602534690170586, 39959.72691271586
21, 4, 9.747398963953986, 82017.07388083797
22, 11, 10.04351100888244, 239637.43440254536
25, 2, 7.378007031295537, 23754.29674428637
26, 2, 8.836169303292506, 34374.49512293765
27, 4, 5.0, 12987.857201277619
29, 2, 5.728789372824229, 11767.810935216545
30, 12, 7.13350478824062, 134782.84731279063
31, 17, 5.793517459897011, 111090.10048448497
32, 8, 11.410729488278447, 212780.08733644712
33, 10, 11.609088913503706, 274486.25639348855
34, 14, 6.272375193817504, 114609.09140869993
35, 6, 9.392858688118833, 115269.34250640862
36, 4, 7.920864164124841, 55405.63559728548
37, 8, 8.364838466263926, 123983.50356129427
38, 3, 13.17904315253796, 99039.98695811855
39, 19, 5.0, 70719.93198593613
40, 8, 7.8901681498873355, 110160.22712209655
41, 2, 12.434944983493871, 60604.493630292105
43, 2, 8.561960618772012, 32375.389803211514
46, 6, 13.489637515815676, 204860.00154662912
47, 11, 7.732823869956881, 147273.31164063473
48, 6, 6.7307239827845855, 57113.29144968938
49, 11, 7.805566569971278, 150207.83174070774
50, 2, 6.127712277686179, 14664.213591414815
51, 2, 8.407807073115485, 31252.95487891526
52, 2, 12.640363788767083, 62098.944677571446
54, 4, 9.383032150043144, 76706.84604577444
55, 6, 8.600089778062445, 97939.52634841557
57, 18, 5.0, 66860.85666762493
59, 8, 7.068599756210405, 86257.92498403644
60, 5, 6.1397074210421625, 36861.14161946851
61, 3, 7.715108583658568, 39309.04358691675
62, 6, 5.541091612227849, 31206.59155913893
63, 10, 9.4556663263406, 196218.30536765058
64, 4, 7.637122808526232, 51272.46662335256
67, 2, 5.333388081182519, 8906.458418842318
68, 2, 9.524689657069738, 39392.010713839685
69, 2, 9.277709230268016, 37592.32707826086
70, 2, 6.958235224143297, 20699.895092556817
71, 7, 8.37039399332721, 108414.0933361799
73, 2, 10.176867823323525, 44142.13434643932
74, 13, 5.861068806746806, 87007.53835117615
75, 7, 6.46899106377135, 59972.10745073095
76, 2, 8.00572642774907, 28325.177679374636
77, 9, 8.039341842911051, 129604.45829651812
78, 4, 13.831815106951169, 141563.09764140594
80, 5, 7.578391343547521, 63018.67535924477
81, 9, 8.333586539080134, 139269.85809457165
82, 5, 13.16282414927777, 164759.27618019766
83, 11, 5.0, 38442.254810682214
84, 5, 8.081621315531319, 72183.72872794997
85, 6, 9.336408665737283, 114034.56959887249
86, 3, 8.240301273276398, 45045.097900595654
87, 8, 5.8891955714693776, 52056.139177403784
88, 8, 13.8323134435003, 283535.54680802295
89, 2, 11.330590224933623, 52556.24204724813
90, 15, 5.0, 54941.72909238717
91, 2, 9.14856707160548, 36649.49600784585
92, 2, 9.86706036233422, 41885.35949655002
93, 6, 5.1497741760560665, 22717.7565083599
94, 10, 9.34107862316707, 192406.28962008687
95, 2, 13.208089279249279, 66243.20602627458
96, 21, 5.717659779503502, 134326.2721992195
97, 2, 11.940856069521733, 56999.76198183835
98, 5, 10.335130987063788, 113228.95529704302
99, 2, 10.426886514966064, 45967.43554683386
100, 3, 10.710875645353562, 72046.97761782672
103, 7, 8.079588474310825, 101494.43175095342
104, 6, 7.317256939597204, 69996.09287578726
105, 4, 5.024919653030342, 13347.53266895351
106, 18, 6.141626456128043, 142676.33859274496
107, 14, 6.972769307526939, 152064.63981063676
109, 6, 5.976367094993045, 40873.94694899846
111, 19, 5.0, 72677.66431579331
112, 6, 14.536394603910875, 228119.31883786933
113, 6, 11.315742016821982, 157718.68423663967
114, 4, 10.614839549419695, 94663.05164345044
115, 2, 7.260448171151538, 22897.295268874055
116, 2, 9.764691649114484, 41136.74092424608
117, 7, 10.882857037250588, 173581.11279266732
119, 11, 7.164890443761264, 126798.73822286965
120, 9, 8.67485297702517, 152657.6940424699
121, 6, 13.495729954708839, 206216.45533543127
122, 2, 9.737726645114952, 40943.43014897473
123, 2, 7.884178840275033, 27440.761416920435
125, 5, 11.201062974019473, 130222.94006276102
126, 9, 8.147328840455069, 136528.12442434736
127, 7, 12.672087279542342, 221134.9483711301
129, 4, 10.30690906364807, 91535.3385341904
131, 13, 7.28223035864073, 158676.8831700739
132, 2, 9.055042279374716, 36648.13021268851
