Yeomen, FamilySize, OwnedLand, TimeToEarnFreedom, GoodsSoldAsSerf
66,26,13.214129655094666,11,103052.77227247383
28,26,10.552766215584189,12,80494.62154486982
72,19,11.204465840820152,15,81816.46392922396
102,20,9.79193610229957,16,74260.86342236989
108,19,10.759720298838023,16,82191.59213022122
42,18,10.53005267587615,17,80180.9721512045
56,17,10.812189022438506,17,78956.38912268773
133,18,9.623697606610667,17,69183.6629054091
44,16,10.495506306887014,19,79609.5075101633
45,16,10.093204990496918,19,74751.28104182449
58,16,9.96262595120151,19,73170.49598604087
130,21,7.367865068558836,19,54901.53451849659
13,14,11.256450581111359,20,81948.7319923142
53,18,8.380743192367685,20,64158.82752094754
101,13,14.400930755387748,20,108660.83977529153
124,13,11.594175494285029,21,83719.38771085658
4,11,16.313568972075124,22,119926.93118658278
23,14,9.090088128197777,23,66834.29267711309
110,13,10.54131836506129,23,79390.23201737237
118,15,8.366686586267615,23,61647.49475403863
24,11,12.527147117673138,25,95067.25932972915
65,10,14.256043683048095,25,103729.57295392745
79,11,10.953859074410392,26,80952.7158883948
128,13,8.361996476316662,26,60598.488091878404
